column,KS_statistic,pass_ks,psi,pass_psi,real_mean,synthetic_mean,mean_abs_diff,real_median,synthetic_median,median_abs_diff,real_std,synthetic_std,std_abs_diff
credit_score,0.0123,True,0.0031,True,650.5288,650.5308,0.002,652.0,652.0,0.0,96.6533,92.671,3.9823
age,0.021,True,0.0074,True,38.9218,38.7911,0.1307,37.0,37.0,0.0,10.4878,10.0691,0.4187
tenure,0.0282,True,0.0336,True,5.0128,4.9948,0.018,5.0,5.0,0.0,2.8922,2.758,0.1342
balance,0.0283,True,0.0134,True,76485.8893,75666.1344,819.7549,97198.54,98833.9615,1635.4215,62397.4052,60723.0169,1674.3883
products_number,0.0121,True,0.0001,True,1.5302,1.5073,0.0229,1.0,1.0,0.0,0.5817,0.5394,0.0422
credit_card,0.0369,True,,False,0.7055,0.7424,0.0369,1.0,1.0,0.0,0.4558,0.4373,0.0185
active_member,0.008,True,,False,0.5151,0.5071,0.008,1.0,1.0,0.0,0.4998,0.5,0.0002
churn,0.0386,True,,False,0.2037,0.1651,0.0386,0.0,0.0,0.0,0.4028,0.3713,0.0315
estimated_salary,0.129,False,0.3301,False,100090.2399,98585.2884,1504.9514,100193.915,97915.2955,2278.6195,57510.4928,42136.8566,15373.6362
