folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_pair_drift,exact_match_rate,mean_psi,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
002_k3_kn3_cat-mode_num-interpolation_scale-robust_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=interpolation scale=robust weighted_sum/euclidean/hamming/balanced,3,3,mode,interpolation,robust,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,79.617,1855.81,7180,0.6667,1.0,0.084,0.0176,0.03923,0.0,0.0072,False,0.6077,0.824,0.7869,0.7711,12
007_k3_kn3_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,71.414,8.17,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7198,13
011_k3_kn3_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,72.07,8.67,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7197,14
015_k3_kn15_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,72.382,8.54,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7196,15
019_k3_kn15_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,73.145,8.42,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7195,16
023_k3_kn15_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,15,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,73.167,8.41,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7194,17
009_k3_kn3_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,74.512,8.7,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7192,18
005_k3_kn3_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,74.886,8.36,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7191,19
021_k3_kn15_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,74.985,8.48,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7191,20
017_k3_kn15_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,75.124,8.48,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7191,21
013_k3_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,15,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,75.562,8.61,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.719,22
003_k3_kn3_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,75.669,8.42,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.719,23
001_k3_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,86.712,1856.64,7180,0.5,1.0,0.0907,0.016,0.039317,0.0,0.0054,False,0.6068,0.84,0.734,0.7168,24
025_k5_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,3,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,100.557,426.75,9511,0.3333,1.0,0.1841,0.0345,0.10651,0.0,0.0283,False,0.0,0.655,0.5317,0.5117,25
