column,KS_statistic,pass_ks,psi,pass_psi,real_mean,synthetic_mean,mean_abs_diff,real_median,synthetic_median,median_abs_diff,real_std,synthetic_std,std_abs_diff
credit_score,0.0147,True,0.003,True,650.5288,650.0265,0.5023,652.0,652.0,0.0,96.6533,92.3753,4.278
age,0.0216,True,0.0072,True,38.9218,38.7917,0.1301,37.0,37.0,0.0,10.4878,10.0439,0.4439
tenure,0.0266,True,0.0363,True,5.0128,5.0101,0.0027,5.0,5.0,0.0,2.8922,2.7539,0.1382
balance,0.027,True,0.0122,True,76485.8893,75748.4869,737.4024,97198.54,98998.63,1800.09,62397.4052,60674.0691,1723.3361
products_number,0.0144,True,0.0001,True,1.5302,1.5057,0.0245,1.0,1.0,0.0,0.5817,0.5352,0.0465
credit_card,0.0344,True,,False,0.7055,0.7399,0.0344,1.0,1.0,0.0,0.4558,0.4387,0.0171
active_member,0.0064,True,,False,0.5151,0.5087,0.0064,1.0,1.0,0.0,0.4998,0.4999,0.0002
churn,0.0428,True,,False,0.2037,0.1609,0.0428,0.0,0.0,0.0,0.4028,0.3675,0.0353
estimated_salary,0.0634,True,0.0816,True,100090.2399,99098.1199,992.12,100193.915,98439.2831,1754.6319,57510.4928,50097.8128,7412.68
