area,metric,value,pass
Karabo-Categorical,mean_category_coverage>=1.0,0.9583,False
Karabo-Categorical,new_synthetic_categories==0,0.0,True
Karabo-Numerical,mean_PSI<0.25,0.0288,True
Karabo-Target,target_rate_drift<0.05,,False
Karabo-Utility,auc_retention>=0.80,,False
Karabo-Privacy,synthetic_duplicate_rate,0.0,True
Karabo-Privacy,replaced_exact_match_rate<0.001,0.0,True
