column,TVD,pass_tvd,real_category_count,synthetic_category_count,category_coverage,new_synthetic_category_count,missing_synthetic_category_count,max_category_proportion_diff
country,0.4116,False,3,3,1.0,0,0,0.4116
gender,0.1896,False,2,2,1.0,0,0,0.1896
products_number,0.063,True,4,2,0.5,0,2,0.063
credit_card,0.2945,False,2,1,0.5,0,1,0.2945
active_member,0.0244,True,2,2,1.0,0,0,0.0244
churn,0.1852,False,2,2,1.0,0,0,0.1852
