feature_1,feature_2,real_corr,synthetic_corr,abs_corr_diff
credit_score,age,-0.004,-0.0114,0.0074
credit_score,tenure,0.0008,0.0122,0.0114
credit_score,balance,0.0063,0.0079,0.0016
credit_score,estimated_salary,-0.0014,0.0267,0.0281
age,tenure,-0.01,-0.0282,0.0182
age,balance,0.0283,0.0541,0.0258
age,estimated_salary,-0.0072,-0.0247,0.0175
tenure,balance,-0.0123,-0.0123,0.0001
tenure,estimated_salary,0.0078,0.0222,0.0144
balance,estimated_salary,0.0128,0.017,0.0042
