column,KS_statistic,pass_ks,psi,pass_psi,real_mean,synthetic_mean,mean_abs_diff,real_median,synthetic_median,median_abs_diff,real_std,synthetic_std,std_abs_diff
credit_score,0.0253,True,0.015,True,650.5288,649.6789,0.8499,652.0,649.0,3.0,96.6533,88.1146,8.5387
age,0.0728,True,0.0818,True,38.9218,38.3821,0.5397,37.0,36.0,1.0,10.4878,9.9278,0.56
tenure,0.0431,True,0.0689,True,5.0128,5.0792,0.0664,5.0,5.0,0.0,2.8922,2.6336,0.2586
balance,0.035,True,0.0215,True,76485.8893,73441.3585,3044.5308,97198.54,95364.9257,1833.6143,62397.4052,60023.2936,2374.1116
estimated_salary,0.0423,True,0.037,True,100090.2399,100288.5298,198.29,100193.915,99912.2998,281.6152,57510.4928,53145.2173,4365.2756
