folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,f1_baseline,f1_synthetic,exact_match_rate,overall_pass,composite_score,rank,target_cols,utility_pass_rate
038_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,euclidean,hamming,3,42,54.386,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0473385547143836,107,,
063_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,minkowski,hamming,3,42,54.4,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0471985547143836,108,,
039_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,euclidean,hamming,3,42,54.49,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0462985547143835,109,,
092_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,manhattan,jaccard,3,42,62.814,2813.23,3179,1.0,0.875,0.0001,0.0294,0.01435,0.2906,0.2408,0.0,True,2.0460904198210597,110,,
059_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,manhattan,overlap,3,42,54.518,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.046018554714384,111,,
066_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,minkowski,jaccard,3,42,54.587,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0453285547143834,112,,
067_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,minkowski,jaccard,3,42,54.716,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.044038554714384,113,,
089_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,manhattan,jaccard,3,42,57.12,2813.23,3179,1.0,0.875,0.0001,0.0294,0.01435,0.2906,0.2231,0.0,False,2.0421219545767375,114,,
045_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,euclidean,overlap,3,42,54.964,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0415585547143835,115,,
057_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,manhattan,overlap,3,42,54.986,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0413385547143834,116,,
055_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,manhattan,jaccard,3,42,55.027,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.040928554714384,117,,
064_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,minkowski,hamming,3,42,55.067,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.040528554714384,118,,
085_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,manhattan,hamming,3,42,57.32,2813.23,3179,1.0,0.875,0.001,0.029,0.014,0.2906,0.2231,0.0,False,2.0405219545767377,119,,
