training_data,task,r2,rmse,auc,accuracy,f1_score,auc_retention_ratio,f1_retention_ratio,r2_retention_ratio,rmse_retention_ratio
real_train,regression,-0.0036,57559.5957,,,,,,,
synthetic_train,regression,-0.0106,57761.0746,,,,,,2.9444,0.9965
