training_data,task,r2,rmse,auc,accuracy,f1_score,auc_retention_ratio,f1_retention_ratio,r2_retention_ratio,rmse_retention_ratio
real_train,regression,-0.0036,57559.5957,,,,,,,
synthetic_train,regression,-0.0152,57890.7263,,,,,,4.2222,0.9943
