folder,name,relationship_col,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,exact_match_rate,mean_psi,target_rate_drift,auc_retention_ratio,real_auc,synthetic_auc,mean_iv_retention,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
012_k3_kn15_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,15,probability,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,85.868,8.11,6414,0.3333,1.0,0.0971,0.0185,0.05255,0.0,0.0137,0.1143,0.91,0.7686,0.6994,57.3362,False,0.0,0.815,0.5541,0.5411,12
011_k3_kn15_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=15 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,3,15,probability,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,87.751,3161.65,6414,0.3333,1.0,0.0971,0.0185,0.05255,0.0,0.0137,0.1143,0.91,0.7686,0.6994,57.3362,False,0.0,0.815,0.5541,0.5408,13
016_k5_kn3_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,3,weighted_mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,103.994,9.93,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4698,14
013_k5_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,3,mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,105.167,921.96,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4696,15
017_k5_kn3_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,3,probability,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,111.505,10.15,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4687,16
015_k5_kn3_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,3,weighted_mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,113.521,10.09,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4684,17
020_k5_kn15_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,15,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,114.877,10.14,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4681,18
018_k5_kn3_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,3,probability,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,116.378,10.08,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4679,19
024_k5_kn15_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,15,probability,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,118.289,9.92,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4676,20
023_k5_kn15_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,15,probability,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,118.819,10.08,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4676,21
019_k5_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,15,mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,122.142,9.94,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.467,22
014_k5_kn3_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,126.338,10.11,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4664,23
022_k5_kn15_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,15,weighted_mode,weighted_mean,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,127.271,10.15,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4663,24
021_k5_kn15_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,churn,5,15,weighted_mode,interpolation,mode,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,132.402,9.98,9277,0.3333,0.875,0.1718,0.038,0.0607,0.0,0.0236,0.1228,0.9208,0.7686,0.7077,3.2366,False,0.0,0.62,0.4855,0.4655,25
