column,KS_statistic,pass_ks,psi,pass_psi,real_mean,synthetic_mean,mean_abs_diff,real_median,synthetic_median,median_abs_diff,real_std,synthetic_std,std_abs_diff
credit_score,0.0239,True,0.0098,True,650.5288,649.1625,1.3663,652.0,650.0,2.0,96.6533,89.6589,6.9944
age,0.033,True,0.017,True,38.9218,38.8595,0.0623,37.0,37.0,0.0,10.4878,9.4787,1.0091
tenure,0.0322,True,0.0385,True,5.0128,4.9958,0.017,5.0,5.0,0.0,2.8922,2.7116,0.1805
balance,0.0254,True,0.0114,True,76485.8893,76097.0714,388.8178,97198.54,99186.6733,1988.1333,62397.4052,60801.1888,1596.2164
products_number,0.0206,True,0.0002,True,1.5302,1.4957,0.0345,1.0,1.0,0.0,0.5817,0.5235,0.0582
credit_card,0.0076,True,,False,0.7055,0.7131,0.0076,1.0,1.0,0.0,0.4558,0.4523,0.0035
active_member,0.0057,True,,False,0.5151,0.5094,0.0057,1.0,1.0,0.0,0.4998,0.4999,0.0001
churn,0.0184,True,,False,0.2037,0.1853,0.0184,0.0,0.0,0.0,0.4028,0.3886,0.0142
estimated_salary,0.0616,True,0.0737,True,100090.2399,99268.3076,821.9323,100193.915,98872.2419,1321.6731,57510.4928,50267.4747,7243.0181
