area,metric,value,pass
Karabo-Categorical,mean_category_coverage>=1.0,1.0,True
Karabo-Categorical,new_synthetic_categories==0,0.0,True
Karabo-Numerical,mean_PSI<0.25,0.0233,True
Karabo-Target,target_rate_drift<0.05,0.0181,True
Karabo-Target,target_ks<0.10,0.0626,True
Karabo-Utility,r2_retention>=0.80,1.1667,True
Karabo-Utility,rmse_retention>=0.80,0.9997,True
Karabo-Privacy,synthetic_duplicate_rate,0.0,True
Karabo-Privacy,replaced_exact_match_rate<0.001,0.0,True
