column,KS_statistic,pass_ks,psi,pass_psi,real_mean,synthetic_mean,mean_abs_diff,real_median,synthetic_median,median_abs_diff,real_std,synthetic_std,std_abs_diff
credit_score,0.0115,True,0.0013,True,650.5288,650.5681,0.0393,652.0,652.0,0.0,96.6533,93.3669,3.2864
age,0.0217,True,0.0048,True,38.9218,38.7668,0.155,37.0,37.0,0.0,10.4878,10.1184,0.3694
tenure,0.0249,True,0.0266,True,5.0128,5.0014,0.0114,5.0,5.0,0.0,2.8922,2.7659,0.1262
balance,0.0225,True,0.0095,True,76485.8893,75925.4041,560.4852,97198.54,98870.245,1671.705,62397.4052,60930.3087,1467.0965
products_number,0.0137,True,0.0001,True,1.5302,1.5055,0.0247,1.0,1.0,0.0,0.5817,0.5365,0.0452
credit_card,0.0145,True,,False,0.7055,0.72,0.0145,1.0,1.0,0.0,0.4558,0.449,0.0068
active_member,0.005,True,,False,0.5151,0.5101,0.005,1.0,1.0,0.0,0.4998,0.4999,0.0001
churn,0.0394,True,,False,0.2037,0.1643,0.0394,0.0,0.0,0.0,0.4028,0.3706,0.0322
estimated_salary,0.0601,True,0.0832,True,100090.2399,99511.9224,578.3174,100193.915,99459.8398,734.0752,57510.4928,49996.5705,7513.9223
